title,original_price,deal_price,rating,reviews,style,budget,sentiment
"Zenna Home Designer Series Medicine Cabinet with 3 Adjustable Glass Shelves, 24"" x 30"" Inches – Frameless Bathroom Mirror Cabinet with Rustproof Aluminum Body, Recessed or Surface Mount Installation",,,4.0,"1,151 ratings",Other,Unknown,Neutral
"Candle Warmer Lamp with Timer, Adjustable Height Candle Warmer, Dimmable, Home Decor, Wax Warmer Lamp for Jar Candles with 2 Bulbs, Black",$35.59,$29.99,5.0,"1,114 ratings",Other,Low,Neutral
"OLANLY Bathroom Rugs 30x20, Extra Soft Absorbent Chenille Bath Rugs, Rubber Backing Quick Dry, Machine Washable Bath Mats for Bathroom Floor, Tub and Shower, Home Decor Accessories, Grey",,,5.0,"6,491 ratings",Other,Unknown,Neutral
"Candle Warmer Lamp with Timer Dimmer Adjustable Height,Mothers Day Gifts,Electric Wax Warmer Vintage Home Decor for Scented Jar Candles,Birthday Gifts for Women",$39.99,$33.99,5.0,674 ratings,Other,Low,Neutral
"Candle Warmer Lamp with Timer and Dimmer,Electric Wax Warmer Lamp with Two Bulbs for Scented Wax,Christmas Gift and House Warming Gift New Home,Adjustable Brightness,Temperature and Height",$35.99,$33.99,5.0,233 ratings,Other,Low,Neutral
"Kitcom Handmade Crystal Bookends Half-Obelisk Design, 1 Pair of Decorative Tabletop Bookends for Office, Home, Desk",,,5.0,21 ratings,Other,Unknown,Neutral
"Under Cabinet Lighting Wireless, 1600mAh Rechargeable Under Counter Lights for Kitchen, Motion Sensor Lights Indoor with Remote, Magnetic Dimmable Closet Lights for Bedroom,Wardrobe(3 Pack)",$49.99,$23.99,5.0,38 ratings,Other,Low,Neutral
"Under Cabinet Lights, 3 Color Temperatures Motion Sensor Light Indoor, 32 LED Rechargeable Magnetic Closet Lights, Wireless Under Counter Lights for Kitchen, Stairs (3 Pack, 7.9Inches)",$35.99,$18.00,4.0,100 ratings,Other,Low,Neutral
"Warm Color LED Closet Lights Wireless Motion Sensor Puck Light, USB Rechargeable Battery Operated Puck Lights with Remote, Dimmable Under Cabinet Counter Lighting for Wardrobe Kitchen (6 Pack)",,,5.0,"11,041 ratings",Other,Unknown,Neutral
"Shower Caddy Adhesive Shower Organizer Bathroom Shower Shelves, Shelf for Inside Shower Storage with Soap Dish&16 Hooks, Rustproof Stainless Steel No Drilling Rack Home Decor 2 Pack Black",,,5.0,"2,097 ratings",Other,Unknown,Neutral
"Under Cabinet Lights,40 LED Rechargeable Battery Operated Motion Sensor Light Indoor, 2 Pack Magnetic Dimmable Closet Lights, Wireless Under Counter Lights for Kitchen, Stairs",,,5.0,"25,020 ratings",Other,Unknown,Neutral
"OLANLY Area Rugs for Living Room Bedroom, Machine Washable 4x5.9 Feet Soft Fluffy Shaggy Bedside Rug, Indoor Floor Carpet for Kids Girls and Boys, Dorms, Nursery Rooms, Home Decor Aesthetic, Grey",$29.99,$19.99,5.0,898 ratings,Other,Low,Neutral
"Veken Adhesive Shower Caddy 6-Pack, Large Capacity Bathroom Organizers and Storage, Rustproof Shelves Rack with Soap Holder, No Drilling Wall-Mounted Kitchen & Home Decor, Bath Decor&Essentials, Black",,,5.0,"3,140 ratings",Other,Unknown,Neutral
"Sullivans White Ceramic Vase Set, Farmhouse Decor, Home Decorative Vase, Vases For Your Kitchen, Bedroom, Office, Living Room, Bathroom, & Shelf Centerpiece Table Decorations (CM2333)",,,5.0,"12,736 ratings",Other,Unknown,Neutral
2 Pack Small Fake Plants Eucalyptus Potted Artificial Plants for Shelf Desk Home Bathroom Farmhouse Room Coffee Table Decor (Sage Green),$18.99,$14.99,5.0,"2,767 ratings",Other,Low,Neutral
"Under Cabinet Lighting, LED Motion Sensor Light Indoor 1800mAh, Magnetic Rechargeable Closet Lights, Wireless Under Counter Lights for Kitchen, Stairs,Hallway",,,5.0,294 ratings,Other,Unknown,Neutral
"Vtopmart 12.1''W Clear Stackable Storage Drawers,2 Pack Acrylic Plastic Organizers Bins for Makeup Palettes, Cosmetics, and Beauty Supplies,Ideal for Vanity, Bathroom,Cabinet,Desk Organization",,,5.0,"1,156 ratings",Other,Unknown,Neutral
"BIGLIGHT Wireless Battery Operated LED Table Top Night Light, Touch Light, Push Light, Remote Controlled, 16 Color Changing, Portable Stick on Tap Light for Closet Cabinet Counter Classroom",,,4.0,218 ratings,Other,Unknown,Neutral
Neon Orange Felt Letter Board 10x10 inches. Changeable Letter Boards Include 300 White Plastic Letters & Oak Frame.,,,5.0,"10,779 ratings",Other,Unknown,Neutral
"Room Decor, 20"" 108 LED Tabletop Bonsai Tree Light, DIY Artificial Tree Lamp, Battery/USB Operated, Aesthetic Lamps for Living Room Bedroom Christmas Home Gifts House Decor (Warm White)",,,5.0,"3,739 ratings",Other,Unknown,Neutral
FEXIA Boho Table Runner for Christmas Home Decor with Tassels 72 Inches Long Farmhouse Rustic Table Runner Macrame Burlap Table Decoration for Living Room Bridal Shower(12x72 Inches),,,5.0,"4,191 ratings",rustic,Unknown,Neutral
"DORESshop LED Night Light, Night Lights Plug Into Wall [2 Pack] with Dusk-to-Dawn Sensor, Dimmable Nightlights, Adjustable Brightness for Bathroom, Hallway, Bedroom,Kids Room,Stairway,Soft White",,,5.0,"5,713 ratings",Other,Unknown,Neutral
"ROTTOGOON Floor Lamp for Living Room with 3 Color Temperatures LED Bulb, Standing Lamp Tall Industrial Floor Lamp Reading for Bedroom, Office (9W LED Bulb, Beige Lampshade Included) -Black",,,5.0,"10,785 ratings",Other,Unknown,Neutral
"Battery Operated LED Celling Lights Fixture with Auto Motion Sensor, Smart Body Sensor Ceiling-mounted Lamps with 3 Colors/Brightness, Motion Detection Magnetic Flush Celling Lights for Closet Shower",,,5.0,256 ratings,Other,Unknown,Neutral
"Under Cabinet Lighting（3 Pack, 72 Led Under Cabinet Lights,11.8inch 3 Colors Motion Sensor Light, Magnetic Rechargeable Under Counter Closet Light, Wireless Night Light Bar Stick-On",,,4.0,72 ratings,Other,Unknown,Neutral
"Scented Candle, Vanilla Cakes Aromatherapy Candles with Ball Cork Lid, Smokeless Non-Toxic Glass Jar Candle for Outdoor or Indoor, Home Decor, Patio, Deck",,,5.0,36 ratings,Other,Unknown,Neutral
"Colonial Candle Unscented Taper Candle, Classic Collection, Ivory, 10 In, Pack of 12 - Up to 8 Hours Burn",,,5.0,"3,070 ratings",Other,Unknown,Neutral
"Carrot's Den Donut Vase, Set of 2 - Minimalist Nordic, White Ceramic Hollow Donut Vase Decor | Table Centerpiece, Olive Plant, Wedding, Living Room, Bookshelf, Office, Modern Home, Entryway, Console",,,5.0,454 ratings,modern,Unknown,Neutral
"4 Pack Qtip Holder Dispenser with Bamboo Lids - 10 oz Clear Plastic Apothecary Jar Containers for Vanity Makeup Organizer Storage - Bathroom Accessories Set for Cotton Swab, Ball, Pads, Floss",$11.79,$9.99,5.0,"7,585 ratings",Other,Low,Neutral
"8 Pcs Drink Coasters with Holder, 8 Colors Absorbent Coasters for Drinks Minimalist Cup Coasters Cotton Coaster Set Woven Coasters for Coffee Table Home Decor Bar Housewarming Gift, 4.3 Inch",,,5.0,834 ratings,minimalist,Unknown,Neutral
"XXXFLOWER Plant Terrarium with Wooden Stand, Air Planter Bulb Glass Vase Metal Swivel Holder Retro Tabletop for Hydroponics Home Garden Office Decoration - 3 Bulb Vase",,,5.0,"13,759 ratings",Other,Unknown,Neutral
"LANANAS Neutral Decorative Throw Pillow Covers 18x18 Inch for Living Room Couch Bed Sofa Farmhouse Boho Home Decor Set of 4 Soft Corduroy Accent Luxury Cushion Cases (18x18, Neutral)",,,4.0,278 ratings,Other,Unknown,Neutral
"Calvin Klein - King Comforter Set, Soft Cotton Bedding, Floral Home Decor (Aquarelle Floral Grey, King)",,,5.0,27 ratings,Other,Unknown,Neutral
"Hug Donut Decorative Vase Set - Modern Nordic Boho Style Vases Home Decor, Matte Ceramic Decorations for Living Room Shelf, Bookshelf Mantle Entryway Table or Console Décor (Cream White)",,,5.0,34 ratings,modern,Unknown,Neutral
"Adhesive Shower Caddy, 5 Pack Rustproof Stainless Steel Bath Organizers With Large Capacity, No Drilling Shelves for Bathroom Storage & Home Decor",,,5.0,"34,858 ratings",Other,Unknown,Neutral
"Corner Floor Lamp - Smart RGB LED Corner Lamp with App and Remote Control, 16 Million Colors & 68+ Scene, Music Sync, Timer Setting - Ideal for Living Rooms, Bedrooms, and Gaming Rooms",,,5.0,"2,986 ratings",Other,Unknown,Neutral
"Utopia Bedding Throw Pillows (Set of 4, White), 18 x 18 Inches Pillows for Sofa, Bed and Couch Decorative Stuffer Pillows",$29.99,$18.69,5.0,"111,140 ratings",Other,Low,Neutral
VELOVA Set of 3 White Ceramic Vase with 65 PCS Dried Pampas Grass Flowers Aesthetic Boho Modern Small Round Cute Vases for Decor Living Room Coffee Table Shelf Bedroom Office Desk Home Gifts Women Mom,,,5.0,380 ratings,modern,Unknown,Neutral
"Small Wood Tray Pedestal Stand Farmhouse Bathroom Decor Decorative Wooden Riser Kitchen Soap Dish Holder for Vanity, Counter, Sink, Brown",,,5.0,"1,318 ratings",Other,Unknown,Neutral
"Rustic Farmhouse Lantern Decor Set of 2 - Stylish Decorative Lanterns for Your Living Room, Fireplace Mantle or Kitchen Dining Table - Modern Upscale Beauty for Your Entire Home",,,4.0,"1,464 ratings",modern,Unknown,Neutral
"Key Holder for Wall, Decorative Key and Mail Holder with Shelf Has Large Hooks for Bags, Coats, Umbrella – Paulownia Wood Key Hanger with Mounting Hardware (9.8”W x 6.7”H x 4.2”D)",,,5.0,"5,127 ratings",Other,Unknown,Neutral
"Fancy Homi 4 Packs Neutral Decorative Throw Pillow Covers 18x18 Inch for Living Room Couch Bed Sofa, Rustic Farmhouse Boho Home Decor, Soft Plush Striped Corduroy Square Cushion Case 45x45 cm",,,5.0,"2,778 ratings",rustic,Unknown,Neutral
"upsimples 10 Pack Picture Frames Collage Wall Decor for Mounting or Tabletop Display, Photo Gallery Frame Set for Family, Multi Sizes Including 8x10, 5x7, 4x6, Black",,,5.0,"1,020 ratings",Other,Unknown,Neutral
"Led Lights for Bedroom 100 ft (2 Rolls of 50ft) Music Sync Color Changing RGB Led Strip Lights with Remote App Control Bluetooth Led Strip, Led Lights for Room Home Kitchen Party Decor",$14.99,$9.99,5.0,"13,318 ratings",Other,Low,Neutral
"Pinkpum 20'' Eucalyptus Wreath for Front Door, Porch, Window - Green Decor for Home, Farmhouse - Spring, Summer, Fall, All Seasons",$29.99,$22.99,5.0,"4,242 ratings",Other,Low,Neutral
"Bedsure White Throw Blanket for Couch - Super Soft Cozy Blankets for Women, Cute Small Fleece Blanket for Girls, 50x60 Inches",,,5.0,"8,614 ratings",Other,Unknown,Neutral
Stuffed Animal Storage Hammock or Net Corner - Large Toy Hammock Net for Stuffed Animals Room Decor - Cute Stuff Animal Organizer Holder for Plush Plushie - Kids Baby Nursery Wall Bedroom Home Decor,,,5.0,"3,260 ratings",Other,Unknown,Neutral
"Sullivans Ceramic Jug Vase Set, Farmhouse Decor, Kitchen, Bedroom, Office, Living Room, Bathroom, & Coffee Table Centerpiece Decorations, Vases for Decor, Mantle & Shelf Decor",$39.99,$36.99,5.0,"5,618 ratings",Other,Low,Neutral
"Homedics Tabletop Water Fountain, Home Décor Soothing Sound Machine - Automatic Pump, Deep Basin & Natural River Rocks. Indoor Zen Relaxation for Office, Living Room, or Bedroom, 8.25” Tall",,,4.0,"42,393 ratings",Other,Unknown,Neutral
"Interchangeable Seasonal Welcome Sign Front Door Decoration, Rustic Round Wood Wreaths Wall Hanging Outdoor, Farmhouse, Porch, for Spring Summer Fall All Seasons Holiday Halloween Christmas.",,,5.0,"6,198 ratings",rustic,Unknown,Neutral
"Galaxy Projector,Star Projector with Timer and Remote Control for Adults Bedroom Decoration, Valentine's Day, Party, Birthday,Star Night Light",,,5.0,"1,011 ratings",Other,Unknown,Neutral
"Bedsure King Size Satin Pillowcase Set of 2 - Beige Silky Pillow Cases for Hair and Skin 20x36 Inches, Pillow Covers with Envelope Closure, Similar to Silk Pillow Cases, Gifts for Women Men",,,5.0,"297,198 ratings",Other,Unknown,Neutral
"PoKat 23"" Modern Ceramic Table Lamp Set of 2 for Living Room White Desk Lamps for Bedroom Farmhouse Bedside Nightstand Bedside Lamp End Table Lamps Beige",$99.00,$69.99,5.0,451 ratings,modern,Low,Neutral
"NIORSUN Battery Operated Wall Sconce Set of 2,Gold Rechargeable Wall Lights with 5200mAh Dimmable Detachable Bulbs and Remote,10 Colors Wireless Wall Lamps for Bedroom Living Room Hallway",$79.99,$55.99,5.0,537 ratings,Other,Low,Neutral
"Bedsure Sage Green Fleece Blanket for Couch - Checkered Throw Blanket for Women, Cute Soft Cozy Blanket for Girls, 50x60 Inches",,,5.0,"8,734 ratings",Other,Unknown,Neutral
"Hong-in Candle Warmer Lamp with Timer-Dimmable Candle Warmer,Birthday Gifts for Women,Valentines Day Gifts for Her,House Warming Gifts New Home Bedroom Decor,Wax Warmer for Scented Wax Jar Candles",$35.99,$29.99,5.0,448 ratings,Other,Low,Neutral
"SUNMORY Floor Lamp with Shelves, Modern Square Standing Lamp with 3 Color Temperature Bulb, Corner Display Bookshelf Lamp for Living Room and Bedroom(Black)",,,5.0,"6,204 ratings",modern,Unknown,Neutral
Veken High Pressure Rain Shower Head Combo with Extension Arm- Wide Showerhead with 6 Handheld Water Spray - Adjustable Dual Showerhead with Anti-Clog Nozzles - Silver Chrome,,,5.0,"5,394 ratings",Other,Unknown,Neutral
"Utopia Bedding Throw Pillows Insert (Pack of 2, White) - 18 x 18 Inches Bed and Couch Pillows - Indoor Decorative Pillows",$23.99,$15.99,5.0,"200,810 ratings",Other,Low,Neutral
"KSIPZE 100ft Led Strip Lights RGB Music Sync Color Changing, Bluetooth Led Lights with Smart App Control Remote, Led Lights for Bedroom Room Lighting Flexible Home Décor",,,5.0,"31,191 ratings",Other,Unknown,Neutral
"GEEZO Fragrance Candle Warmer Lamp，Electric Candle Warmer with Timer & Dimmer，Mom Christmas Birthday Gifts for Women, House Warming Gifts New Home Bedroom Decor",,,5.0,"1,447 ratings",Other,Unknown,Neutral
"Aganear Fleece Throw Blanket - Cozy Soft Lightweight Fuzzy Throw Blanket for Women Portable Throw Blankets for Couch, Warm Present for Birthday, Christmas, Halloween, Housewarming(50""x60"", Khaki)",,,5.0,870 ratings,Other,Unknown,Neutral
"KAKAMAY Large Blanket Basket (20""x13""),Woven Baskets for storage Baby Laundry Hamper, Cotton Rope Blanket Basket for Living Room, Laundry, Nursery, Pillows, Baby Toy chest (White/Brown)",,,5.0,"2,380 ratings",Other,Unknown,Neutral
"L LOHAS LED Night Light Plug in, Modern Night Lights Plug into Wall, Dusk to Dawn Sensor, Soft White 3000K, 0-100LM Adjustable Brightness, Dimmable Night Lights for Hallway Bedroom Stairway, 2 Pack",,,5.0,"6,868 ratings",modern,Unknown,Neutral
"Outdoor String Lights 60 Feet G40 Globe Patio Lights with 32 Edison Shatterproof Bulbs(2 Spare), Waterproof Connectable Hanging Christmas Lights for Backyard Porch Balcony Party Xmas Decor",,,5.0,"71,585 ratings",Other,Unknown,Neutral
